ID,Gender,Income,Education_Years,Ed_Category,MaritalStatus,Age,Age_Groups,Race,Hispanic_origin,Region,State,Household_status,Household_summary,Change_msa,Change_region,Move_within_reg,Moved_last_year,Move_sunbelt,Num_persons_worked,Family_members_under18,Birth_country_father,Birth_country_mother,Birth_country_self,Citizenship,Fill_vet_survey,Vet_benefits,Year,Birth_country_father_Reclassify,Birth_country_mother_Reclassify,Birth_country_self_Reclassify,Hour_wage,Capital_gains,Capital_losses,Dividends,Weeks_worked,Type_worker,Industry_code,Occupation_code,Union_member,Reason_unemployed,Employment_status,Tax_status,Own_business,Income_category,Stock_numbers,Investment,Employed,Educated_fulltime,Educated_earning_age
1115,Male,-50000,16,Bachelors Degree,Married,68,Sixties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,0,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,3095,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Not in labor force                ,Joint both 65+              ,NA,-50000,3095,T,F,No ,No 
1173,Female,-50000,12,High School Degree,Married,43,Forties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,3,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,52,Federal government            ,Public administration              ,Adm support including clerical       ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
1184,Male,50000+.,16,Bachelors Degree,Married,35,Thirties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,4,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,15024,0,0,52,Private                       ,Retail trade                       ,Sales                                ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA, 50000+. ,15024,T,T,Yes,Yes
1187,Male,-50000,13,Some College,Married,41,Forties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,3,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,52,Private                       ,Wholesale trade                    ,Sales                                ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
1274,Female,-50000,12.5,Some College,Separated,30,Thirties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,3,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,709,1831,0,0,52,Private                       ,Retail trade                       ,Sales                                ,No            ,Not applicable,Full-time schedules               ,Head of household           ,NA,-50000,1831,T,T,No ,No 
1275,Female,-50000,12.5,Some College,Divorced,31,Thirties,White                      ,All other                ,Not applicable,Not applicable,Child 18+ ever marr RP of subfamily      ,Child 18 or older            ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,5,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,52,Private                       ,Finance insurance and real estate  ,Adm support including clerical       ,Not applicable,Not applicable,Full-time schedules               ,Head of household           ,NA,-50000,0,F,T,No ,No 
1282,Female,-50000,16,Bachelors Degree,Never Married,33,Thirties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,300,52,Private                       ,Manufacturing-durable goods        ,Professional specialty               ,Not applicable,Not applicable,Full-time schedules               ,Single                      ,NA,-50000,300,T,T,Yes,No 
1301,Female,-50000,12.5,Some College,Married,46,Forties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,5,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,39,Private                       ,Manufacturing-durable goods        ,Machine operators assmblrs & inspctrs,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
1325,Female,-50000,16,Bachelors Degree,Married,40,Forties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,48,Private                       ,Manufacturing-durable goods        ,Adm support including clerical       ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,Yes
1388,Male,50000+.,12,High School Degree,Married,54,Fifties,White                      ,All other                ,Northeast     ,Connecticut   ,Householder                              ,Householder                  ,MSA to MSA      ,Same county                  ,Same county                ,No            ,No            ,4,Not applicable,England      ,United-States,England      ,Native- Born abroad of American Parent(s)  ,Not applicable,Not applicable,94,Other        ,United States,Other        ,0,0,1848,0,52,Private                       ,Finance insurance and real estate  ,Executive admin and managerial       ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA, 50000+. ,1848,T,T,No ,No 
1434,Female,-50000,18,Advanced Degree,Married,50,Fifties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,0,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Not in labor force                ,Joint both under 65         ,NA,-50000,0,F,F,No ,Yes
1442,Female,-50000,12.5,Some College,Married,30,Thirties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,2,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,52,Private                       ,Other professional services        ,Adm support including clerical       ,Not applicable,Not applicable,Full-time schedules               ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
1563,Male,50000+.,16,Bachelors Degree,Married,49,Forties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,300,52,Self-employed-incorporated    ,Finance insurance and real estate  ,Sales                                ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA, 50000+. ,300,T,T,Yes,Yes
1570,Male,50000+.,18,Advanced Degree,Married,55,Fifties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,2,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,52,State government              ,Public administration              ,Executive admin and managerial       ,No            ,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA, 50000+. ,0,F,T,Yes,Yes
1624,Male,50000+.,16,Bachelors Degree,Married,57,Fifties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,0,Not applicable,Unknown      ,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,Other        ,United States,United States,0,0,1902,15000,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA, 50000+. ,16902,T,F,No ,Yes
1694,Female,-50000,11,No High School Degree,Widowed,61,Sixties,Black                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,1,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,24,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Children or Armed Forces          ,Single                      ,NA,-50000,0,F,T,No ,No 
1736,Male,-50000,10,No High School Degree,Married,50,Fifties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,1,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,1744,52,Self-employed-incorporated    ,Construction                       ,Precision production craft & repair  ,Not applicable,Not applicable,Full-time schedules               ,Joint both under 65         ,NA,-50000,1744,T,T,No ,No 
1759,Male,-50000,12,High School Degree,Married,42,Forties,White                      ,Mexican-American         ,South         ,Utah          ,Secondary individual                     ,Nonrelative of householder   ,MSA to MSA      ,Same county                  ,Same county                ,No            ,Yes           ,1,Not applicable,United-States,Mexico       ,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,Other        ,United States,0,0,0,0,52,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Children or Armed Forces          ,Single                      ,NA,-50000,0,F,T,No ,No 
1837,Male,-50000,8,No High School Degree,Divorced,51,Fifties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,1,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,10,Self-employed-not incorporated,Business and repair services       ,Precision production craft & repair  ,Not applicable,Not applicable,PT for econ reasons usually PT    ,Single                      ,NA,-50000,0,F,T,No ,No 
1948,Female,-50000,12,High School Degree,Divorced,33,Thirties,White                      ,All other                ,Midwest       ,Iowa          ,Secondary individual                     ,Nonrelative of householder   ,MSA to MSA      ,Different state same division,Different state in Midwest ,No            ,No            ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,9,Private                       ,Finance insurance and real estate  ,Adm support including clerical       ,Not applicable,Re-entrant    ,Children or Armed Forces          ,Nonfiler                    ,NA,-50000,0,F,T,No ,No 
1957,Male,-50000,12,High School Degree,Never Married,31,Thirties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,4,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,900,0,0,0,52,Private                       ,Wholesale trade                    ,Transportation and material moving   ,No            ,Not applicable,Children or Armed Forces          ,Single                      ,NA,-50000,0,F,T,No ,No 
2001,Female,-50000,12,High School Degree,Married,50,Fifties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,0,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Not in labor force                ,Joint both under 65         ,NA,-50000,0,F,F,No ,No 
2085,Female,-50000,12,High School Degree,Married,53,Fifties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,3,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,46,Private                       ,Manufacturing-nondurable goods     ,Machine operators assmblrs & inspctrs,Not applicable,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
2123,Male,50000+.,16,Bachelors Degree,Married,59,Fifties,White                      ,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,Unknown      ,Unknown      ,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,Other        ,Other        ,United States,0,0,0,250,52,Private                       ,Manufacturing-durable goods        ,Machine operators assmblrs & inspctrs,Not applicable,Not applicable,PT for econ reasons usually PT    ,Joint both under 65         ,NA, 50000+. ,250,T,T,Yes,Yes
2149,Male,-50000,11,No High School Degree,Married,33,Thirties,Amer Indian Aleut or Eskimo,All other                ,Not applicable,Not applicable,Spouse of householder                    ,Spouse of householder        ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,1,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,0,42,Private                       ,Construction                       ,Handlers equip cleaners etc          ,Not applicable,Other job lose,Children or Armed Forces          ,Joint both under 65         ,NA,-50000,0,F,T,No ,No 
2188,Male,-50000,16,Bachelors Degree,Married,29,Young,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,5013,0,0,52,Private                       ,Manufacturing-durable goods        ,Professional specialty               ,Not applicable,Not applicable,Full-time schedules               ,Joint both under 65         ,NA,-50000,5013,T,T,Yes,No 
2232,Male,-50000,12,High School Degree,Never Married,37,Thirties,White                      ,Central or South American,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,2,Not applicable,Columbia     ,Columbia     ,Columbia     ,Foreign born- Not a citizen of U S         ,Not applicable,Not applicable,95,Other        ,Other        ,Other        ,1500,0,0,0,52,Private                       ,Retail trade                       ,Precision production craft & repair  ,No            ,Not applicable,Full-time schedules               ,Head of household           ,NA,-50000,0,F,T,No ,No 
2283,Male,50000+.,20,Advanced Degree,Widowed,78,Older,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,0,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,6097,0,5412,0,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Not in labor force                ,Single                      ,NA, 50000+. ,11509,T,F,No ,No 
2284,Male,50000+.,16,Bachelors Degree,Married,45,Forties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,15024,0,100,52,Private                       ,Finance insurance and real estate  ,Sales                                ,Not applicable,Not applicable,Full-time schedules               ,Joint both under 65         ,NA, 50000+. ,15124,T,T,Yes,Yes
2373,Male,50000+.,12.5,Some College,Married,36,Thirties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,4,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,94,United States,United States,United States,0,0,0,80,52,Private                       ,Utilities and sanitary services    ,Precision production craft & repair  ,No            ,Not applicable,Children or Armed Forces          ,Joint both under 65         ,NA, 50000+. ,80,T,T,No ,No 
2526,Male,50000+.,18,Advanced Degree,Married,32,Thirties,White                      ,All other                ,Not applicable,Not applicable,Householder                              ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,52,Private                       ,Transportation                     ,Professional specialty               ,No            ,Not applicable,Full-time schedules               ,Joint both under 65         ,NA, 50000+. ,0,F,T,Yes,No 
2537,Male,-50000,12,High School Degree,Never Married,36,Thirties,Black                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,0,52,Private                       ,Finance insurance and real estate  ,Adm support including clerical       ,Not applicable,Not applicable,Full-time schedules               ,Single                      ,NA,-50000,0,F,T,No ,No 
2554,Female,-50000,18,Advanced Degree,Divorced,38,Thirties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Unknown         ,Unknown                      ,Unknown                    ,Not applicable,Unknown       ,6,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,Not applicable,Not applicable,95,United States,United States,United States,0,0,0,600,47,State government              ,Social services                    ,Professional specialty               ,Not applicable,Not applicable,PT for non-econ reasons usually FT,Single                      ,NA,-50000,600,T,T,No ,Yes
2578,Male,-50000,12,High School Degree,Divorced,55,Fifties,White                      ,All other                ,Not applicable,Not applicable,Nonfamily householder                    ,Householder                  ,Nonmover        ,Nonmover                     ,Nonmover                   ,Yes           ,Not applicable,1,Not applicable,United-States,United-States,United-States,Native- Born in the United States          ,No            ,Yes           ,94,United States,United States,United States,0,0,0,0,15,Not applicable                ,Not applicable                     ,Not applicable                       ,Not applicable,Not applicable,Children or Armed Forces          ,Single                      ,NA,-50000,0,F,T,No ,No 
